eta_multiplier,effective_eta,L_constant,A_param,n_dim,num_starts,avg_iters,std_iters
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.2,0.0005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
0.5,0.0012601308978236335,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
1.0,0.002520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
2.0,0.005040523591294534,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
5.0,0.012601308978236336,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
10.0,0.025202617956472672,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
100.0,0.2520261795647267,396.78417604357435,10.0,2,5,100000.0,0.0
